event_id,event_name,event_type,event_date,location_id,description
bac4322a-02f9-486a-b31c-43e7017b1006,Sharma-Verma Wedding Reception,festival,2024-12-31,d5a1bd73-cd7f-4fdb-a391-b386895777aa,A grand evening celebration hosting friends and family with traditional music and a multi-course dinner.
e94b6469-664e-4889-956a-e4011df0557c,Annual Heritage Arts Festival,festival,2024-04-10,cca2418e-5650-42dc-add4-f55d74d47fd4,"A week-long cultural gathering showcasing classical dance, instrumental music, and regional handicraft stalls."
1456bac6-226d-433b-b3a8-0aa2a0eaade3,Civil Suit No. 405 Hearing,festival,2023-09-04,dd569924-080f-4344-80fb-cdbb7bc41e6a,A scheduled district court proceeding concerning a property boundary dispute between private parties.
495be3d8-43d0-48a7-8db0-12d67edd8390,Municipal Water Supply Protest,festival,2025-03-11,99e9a460-ceb3-4609-9a0f-4dce99ada1b2,A peaceful neighborhood demonstration outside the local administrative block demanding regular tap water availability.
0f27d62d-bc61-4898-9004-1f71342cd730,Patel Family Reunion Gala,festival,2024-06-03,d6f40bfd-4360-4e5a-b544-68d5bf70b311,"A large community gathering featuring cultural performances, traditional feast, and generational photo sessions."
37145b80-d0d7-45b2-b9b8-c8034551863f,Monsoon Harvest Folk Fair,festival,2024-04-12,99e9a460-ceb3-4609-9a0f-4dce99ada1b2,"An open-air seasonal festival highlighting local agrarian traditions, folk songs, and indigenous food items."
ea9ce2db-c69a-4406-aaa2-98b430a779af,Labor Rights Demonstration,festival,2024-01-27,dd569924-080f-4344-80fb-cdbb7bc41e6a,A public assembly of local factory workers advocating for revised minimum wage structures and safety gear.
e6f98c46-3af8-47ea-a28e-2c13df13994f,High Court Appeal Session,festival,2023-11-14,dd569924-080f-4344-80fb-cdbb7bc41e6a,A judicial review hearing regarding a commercial contract disagreement submitted by a manufacturing firm.
9e8af053-4ac6-4991-bacf-f04ad59993ba,Bangalore Tech Park Quarterly Strategy Session,business_meeting,2024-08-11,63567c45-207e-4463-9fb3-9061aea4680e,Senior executives gathered to review Q3 operational metrics and finalize expansion plans for the southern region.
16da9973-30c3-482d-8ace-f83c447a555e,Mumbai Fintech Innovation Boardroom Discussion,business_meeting,2023-09-24,bbdca28f-c49f-4ec2-8ae6-6634c58f2755,Industry stakeholders convened to discuss emerging regulatory frameworks for digital lending startups.
