organization_id,name,organization_type,location_id,description
b3d110d6-dd86-46e5-afdd-29626fb388bc,Bharat Union Bank,bank,da97debf-a2c0-4f37-9708-76fe4aef4637,A scheduled commercial bank offering retail and corporate financial products across India.
995610ee-7319-44cf-91d6-762cbabda860,Aryavarta Rural Bank,bank,5142d1c6-96f2-49c3-9a7d-0db46d67442c,A regional banking institution focused on agricultural credit and rural financial inclusion.
028cd423-18ca-4188-9745-0259bc076a11,Kalinga Mercantile Bank,bank,8b290e9f-43ac-4762-b2a2-f30d65d03bed,A growing private sector bank providing traditional deposit accounts and small business loans.
162db169-8d7b-407e-a855-c3ed1753cd2f,Pragati Apex Bank,bank,602d9768-51c6-48ac-b514-d39a38aa8cab,A cooperative financial institution supporting micro-entrepreneurs and urban cooperative ventures.
af8d2f2c-d3a5-4224-82d8-a44160ddd556,Indraprastha Bank of Commerce,bank,da97debf-a2c0-4f37-9708-76fe4aef4637,"A commercial lender specializing in trade finance, foreign exchange, and corporate advisory."
3f606703-201b-446a-8ddf-fdde82de8f2e,Dakshin Vanguard Bank,bank,63567c45-207e-4463-9fb3-9061aea4680e,A regional bank delivering digital banking services and consumer credit in southern states.
74cbcd35-a499-4126-9ef6-5f152493f4c3,Vindhya Federal Bank,bank,6e52fc9a-f78d-4af7-8767-7e8f2a460895,"A scheduled bank offering wealth management, home mortgages, and automated payment gateways."
62caaed0-52b6-4150-8182-69dce04eace6,Himalayan Apex Bank,bank,63567c45-207e-4463-9fb3-9061aea4680e,A specialized financial institution providing community banking and hilly-terrain infrastructure loans.
505aa09b-7dcd-4116-8a81-9d6cf4bc38a9,NovaPay UPI Solutions,payment_platform,6e52fc9a-f78d-4af7-8767-7e8f2a460895,A digital payment platform facilitating peer-to-peer money transfers and merchant settlements across India.
a4daa621-4cbd-4d1a-8f43-cc11107038c7,KuberPe Digital Wallet,payment_platform,8b290e9f-43ac-4762-b2a2-f30d65d03bed,"An online mobile wallet service allowing users to store funds, pay utility bills, and conduct quick retail checkouts."
b1bbb8bf-9aa6-49e9-b836-31f72c71e2fb,SwadeshiPay Micro-Transactions,payment_platform,63567c45-207e-4463-9fb3-9061aea4680e,A fintech application focused on enabling low-value digital transactions and QR-code payments for rural merchants.
caf1e509-e208-44af-a23b-a742b7c6fb40,Vanya Money Gateway,payment_platform,224509af-d2a1-4d77-88c6-cfedcfd3682c,A virtual payment network provider offering application programming interfaces for online merchant checkout systems.
60fad50e-687c-4b0c-9ba2-f275259900a6,Zillion Wallet Services,payment_platform,fa611201-3cf8-479a-86a9-0a3dd9f725ff,"A consumer-facing digital finance app providing prepaid cards, digital cash storage, and instant remittance options."
04768ba5-41e8-494d-b07f-3f6541fc3ddf,BharatCash Express,payment_platform,63567c45-207e-4463-9fb3-9061aea4680e,A unified payment interface aggregator service designed to simplify digital collections for small and medium enterprises.
d7dda030-bb35-4bb4-9041-bcf26e725189,Andheri West Police Station,police_station,c72b3670-988d-4140-b70e-75cb3ec17b11,"Local law enforcement precinct responsible for maintaining public safety, order, and crime investigation in the Andheri West district."
127d9a8f-fc9e-4131-9e76-590170bffbcb,Connaught Place Police Station,police_station,399368c8-c978-469c-be30-609d71bcffc7,"Central municipal police facility tasked with patrolling commercial areas, managing traffic flow, and handling public grievances."
3b5da618-4fd2-4bb8-b556-47365830255a,Banjara Hills Police Station,police_station,d890e6e8-e9d5-40b8-8d55-7f7573bd97a1,"Metropolitan law enforcement unit handling urban security, neighborhood patrolling, and the registration of local criminal complaints."
33f8656e-479c-49d6-9a8a-8fb7a8ef0bf7,Salt Lake Sector V Police Station,police_station,c72b3670-988d-4140-b70e-75cb3ec17b11,"Suburban police station providing security services, cybercrime reporting intake, and law enforcement support to the IT corridor."
1662adb4-adbf-4b9c-ab63-b1264d102bc1,Koramangala Police Station,police_station,3bcf3cb2-15e9-4118-b082-241e75e7f818,"Area police headquarters responsible for community policing, traffic regulation, and the enforcement of local penal codes."
08d9c7db-43b2-4484-aacd-eacf98c91a5a,Vasant Vihar Police Station,police_station,3bcf3cb2-15e9-4118-b082-241e75e7f818,"Residential district police post focused on neighborhood crime prevention, domestic dispute resolution, and local patrolling."
2ff71fd7-294f-4bde-b0d8-6b7569362e9c,Alipore Police Station,police_station,0f50f615-7033-4550-b3c0-1327c1c40070,"Historic precinct tasked with maintaining civil order, executing judicial warrants, and managing local law enforcement operations."
d39bfe95-64e7-4941-a5c6-5455592f5619,Jubilee Hills Police Station,police_station,3bcf3cb2-15e9-4118-b082-241e75e7f818,"Urban police unit dedicated to safeguarding commercial zones, investigating local thefts, and ensuring public safety."
029ec3f2-b878-41d9-b241-c6dd4f91001d,Mylapore Police Station,police_station,d0184a09-161d-4442-9ae0-17c96fb4622e,Heritage zone police precinct responsible for crowd management during cultural events and general criminal investigation.
71395875-3bcb-45eb-b0b9-39fea0beb645,Koregaon Park Police Station,police_station,a67d384b-edfc-4caa-8a46-8b72e3208724,"Stationhouse responsible for nightlife regulation, public safety patrols, and the registration of local FIRs."
9c058383-359c-4a70-a86d-aa4ff84b6a48,Civil Lines Police Station,police_station,44a689bd-ea9d-49fe-917d-79a7404e631f,Administrative zone police station providing security to government residences and managing regional law enforcement duties.
1913d106-de0f-44d8-a347-15bd438311d1,Adyar Police Station,police_station,44a689bd-ea9d-49fe-917d-79a7404e631f,"Coastal area police precinct handling maritime security coordination, local crime prevention, and community policing initiatives."
03717d94-a1a9-4385-9887-cd8e9ecb9dea,Rohini District Court,court,e44e89e9-4e92-4430-af77-94a617033bd3,A judicial institution handling civil and criminal matters within the Rohini district jurisdiction.
33ec0350-d1f3-4df5-952c-96d3b1c1f37f,Alipore Sessions Court,court,45e803a1-d704-4e47-9f8a-a5fe1b39d690,A primary criminal court responsible for presiding over major felony trials and appeals.
