case_id,case_number,case_type,status,opened_date,closed_date,jurisdiction_location_id,description
7360101f-821c-418f-b537-fba32bdda3d7,FIR/LAS/2023/7924,theft,under_investigation,2023-12-07,,a1ac6dda-cf2b-4f37-b3bf-4697fe4e7bff,Unidentified miscreants broke into a locked residential flat in South Delhi and made off with gold ornaments and digital devices.
8635c239-221c-45f3-a247-da123a49d95b,FIR/EJA/2023/3419,theft,chargesheet_filed,2024-06-01,,c72b3670-988d-4140-b70e-75cb3ec17b11,"A commuter on a crowded local train in Mumbai reported the theft of a leather handbag containing cash, identity cards, and a smartphone."
a3564112-7366-4cf0-8605-72727f952eee,FIR/NAW/2023/5374,theft,closed,2023-12-28,2024-03-19,3bcf3cb2-15e9-4118-b082-241e75e7f818,Two individuals riding a motorcycle snatched a gold chain from a pedestrian walking along a busy commercial street in Bengaluru.
94fc8e84-b04d-490f-9dd9-031416438a20,FIR/ALA/2025/3661,theft,chargesheet_filed,2025-02-14,,399368c8-c978-469c-be30-609d71bcffc7,Unknown persons stole a parked motorcycle from outside a commercial complex located in the central business district of Pune.
a0f27f45-6c5f-4388-bcd0-6f0e9029384f,FIR/CHO/2025/6430,theft,convicted,2025-03-24,2025-04-15,3882bfc6-6f3e-42f1-acd5-875175110e2b,Shop staff in a crowded clothing store in Jaipur discovered that the cash drawer was forced open and daily collections were missing.
3a82c1ae-a3b5-48d9-b2fa-ffc1eb17c2b5,FIR/LUN/2025/7026,theft,convicted,2023-07-19,2024-06-24,d0184a09-161d-4442-9ae0-17c96fb4622e,A visiting tourist at a heritage site in Agra reported the theft of a backpack containing expensive camera equipment and travel documents.
a9e0d542-a33b-4de6-b8e3-992b4e3ef747,FIR/DHA/2024/8361,theft,chargesheet_filed,2025-01-29,,3a90b419-d49b-432d-b67f-8fef620d5ecd,Miscreants scaled the boundary wall of a warehouse on the outskirts of Hyderabad and stole several cartons of electronic goods.
9f427bfa-8665-4e04-a797-aa64f0aeb2eb,FIR/JAK/2025/9942,theft,closed,2024-10-02,2024-12-21,f77c2362-fa09-4024-9ad2-7cf845b2b17e,An elderly citizen waiting at a bus stop in Kolkata was targeted by a pickpocket who managed to extract a wallet from the victim's pocket.
75c64e2f-e37e-458f-a67f-eb11eb29a414,FIR/MUT/2025/1713,theft,chargesheet_filed,2023-07-31,,c0975979-9043-4963-855f-ca856764a207,Copper wiring and electrical fixtures were reported stolen from an under-construction apartment complex in Ahmedabad.
301336ef-cb38-46c3-a53a-34f87df3ac2c,FIR/DHA/2023/2022,theft,under_investigation,2024-01-30,,3a90b419-d49b-432d-b67f-8fef620d5ecd,"A delivery executive left his bicycle unlocked outside a grocery store in Chennai, and it was stolen within minutes."
94674567-5cc2-407e-b50e-cf7611569a4e,FIR/EJA/2024/6901,theft,convicted,2025-03-24,2025-03-28,c72b3670-988d-4140-b70e-75cb3ec17b11,Thieves broke the window of a parked car in a residential colony in Lucknow and stole a laptop bag kept on the back seat.
8196cbcd-91ff-4956-abac-be2324db4a11,FIR/SHA/2023/7841,theft,under_investigation,2023-11-14,,a67d384b-edfc-4caa-8a46-8b72e3208724,A resident of a housing society in Gurugram reported the theft of potted plants and decorative brass items kept outside the front door.
